X_Value		Untitled	X_Value	Untitled	X_Value	SP
229.490947	197.490947	54.786072	238.064804	56.04602	238.064804	55
229.963994	197.963994	54.677589	238.889886	56.015693	238.889886	55
230.632061	198.632061	54.610662	239.541952	56.219624	239.541952	55
231.162114	199.162114	54.930291	240.412039	56.006372	240.412039	55
231.636161	199.636161	54.873337	241.185116	56.102142	241.185116	55
232.303228	200.303228	54.608507	241.935191	55.957515	241.935191	55
232.835281	200.835281	54.716567	242.755273	56.186652	242.755273	55
233.305328	201.305328	54.8799	243.558353	56.127922	243.558353	55
233.956393	201.956393	54.522532	244.310428	56.13496	244.310428	55
234.510449	202.510449	54.764322	244.959494	56.104484	244.959494	55
234.989497	202.989497	54.803491	245.762574	56.027351	245.762574	55
235.641562	203.641562	54.625753	246.374635	56.255017	246.374635	55
236.199618	204.199618	54.866778	247.12971	55.962162	247.12971	55
236.680666	204.680666	54.731748	247.82478	56.116199	247.82478	55
237.332731	205.332731	54.662455	248.515849	56.018024	248.515849	55
237.884786	205.884786	54.794779	249.317929	56.151391	249.317929	55
238.358834	206.358834	54.786072	249.963994	56.15374	249.963994	55
239.010899	207.010899	54.552576	250.799077	56.013362	250.799077	55
239.563954	207.563954	54.75563	251.412138	56.356863	251.412138	55
240.035001	208.035001	54.853665	252.167214	56.102142	252.167214	55
240.682066	208.682066	54.777369	252.857283	56.292847	252.857283	55
241.255123	209.255123	54.783895				
241.735171	209.735171	54.746942				
242.389236	210.389236	54.736087				
242.945292	210.945292	54.790425				
243.41934	211.41934	54.864592				
244.067405	212.067405	54.679752				
244.638462	212.638462	54.998436				
245.11851	213.11851	54.983025				
245.770575	213.770575	54.705731				
246.32463	214.32463	54.851481				
246.810679	214.810679	54.812206				
247.463744	215.463744	54.738258				
248.016799	216.016799	54.932485				
248.488846	216.488846	54.882088				
249.143912	217.143912	54.868964				
249.698968	217.698968	54.912747				
250.174015	218.174015	54.941264				
250.829081	218.829081	54.759975				
251.390137	219.390137	54.903982				
251.866185	219.866185	54.906173				
252.51825	220.51825	54.812206				
253.078305	221.078305	54.989628				
253.561354	221.561354	54.844929				
254.217419	222.217419	54.849297				
254.774475	222.774475	54.987427				
255.258524	223.258524	54.980825				
255.92559	223.92559	54.790425				
256.494647	224.494647	54.958836				
257.015699	225.015699	55.075688				
257.694767	225.694767	54.796956				
258.231821	226.231821	55.03371				
258.736871	226.736871	54.888653				
259.41994	227.41994	54.764322				
259.975996	227.975996	55.106683				
260.456043	228.456043	55.113332				
261.154113	229.154113	54.814386				
261.673165	229.673165	54.950048				
262.152213	230.152213	55.055791				
262.850283	230.850283	54.994031				
263.371335	231.371335	55.162166				
263.856383	231.856383	54.936874				
264.555453	232.555453	54.786072				
265.086506	233.086506	55.029297				
265.594557	233.594557	55.091179				
266.297627	234.297627	55.018269				
266.814679	234.814679	55.111116				
267.345732	235.345732	55.153277				
268.046802	236.046802	55.062421				
268.53085	236.53085	55.029297				
269.050902	237.050902	55.029297				
269.749972	237.749972	55.040331				
270.235021	238.235021	55.071265				
270.759073	238.759073	55.002841				
271.457143	239.457143	55.106683				
271.947192	239.947192	55.091179				
272.467244	240.467244	54.92371				
273.167314	241.167314	55.007248				
273.658363	241.658363	55.073476				
274.203418	242.203418	54.92371				
274.885486	242.885486	55.155499				
275.383536	243.383536	55.182182				
275.962594	243.962594	54.954441				
276.629661	244.629661	55.124419				
277.119709	245.119709	55.204448				
277.711769	245.711769	55.007248				
278.355833	246.355833	55.226742				
278.844882	246.844882	55.204448				
279.457943	247.457943	54.956639				
280.097007	248.097007	55.102252				
280.604058	248.604058	55.280362				
281.271124	249.271124	55.051373				
281.866184	249.866184	55.293792				
282.362234	250.362234	55.260236				
283.0333	251.0333	54.978625				
283.606358	251.606358	55.186633				
284.101408	252.101408	55.349859				
284.793477	252.793477	55.091179				
285.344532	253.344532	55.304991				
285.837581	253.837581	55.266942				
286.550653	254.550653	55.115549				
287.087706	255.087706	55.307232				
287.598757	255.598757	55.182182				
288.307828	256.307828	55.106683				
288.82188	256.82188	55.336387				
289.350933	257.350933	55.325168				
290.056003	258.056003	55.251298				
290.553052	258.553052	55.444449				
291.103108	259.103108	55.228973				
291.793177	259.793177	55.296031				
292.286226	260.286226	55.480615				
292.854283	260.854283	55.249064				
293.52535	261.52535	55.244598				
294.018399	262.018399	55.392588				
294.610458	262.610458	55.249064				
295.262524	263.262524	55.31844				
295.759573	263.759573	55.480615				
296.368634	264.368634	55.313956				
297.009698	265.009698	55.300511				
297.511748	265.511748	55.582724				
298.144812	266.144812	55.186633				
298.759873	266.759873	55.442191				
299.254923	267.254923	55.496461				
299.908988	267.908988	55.2379				
300.500047	268.500047	55.340877				
300.994096	268.994096	55.516854				
301.666164	269.666164	55.235668				
302.243221	270.243221	55.455743				
302.743272	270.743272	55.458003				
303.436341	271.436341	55.275887				
303.994397	271.994397	55.435419				
304.489446	272.489446	55.467044				
305.208518	273.208518	55.302751				
305.773574	273.773574	55.548623				
306.32763	274.32763	55.494196				
307.054702	275.054702	55.439933				
307.562753	275.562753	55.532732				
308.141811	276.141811	55.354352				
308.817879	276.817879	55.433162				
309.315928	277.315928	55.489668				
309.910988	277.910988	55.424138				
310.568054	278.568054	55.437676				
311.077105	279.077105	55.564529				
311.722169	279.722169	55.455743				
312.339231	280.339231	55.662546				
312.841281	280.841281	55.469305				
313.519349	281.519349	55.354352				
314.098407	282.098407	55.696864				
314.602458	282.602458	55.566802				
315.302527	283.302527	55.408356				
315.890586	283.890586	55.639703				
316.418639	284.418639	55.648837				
317.156713	285.156713	55.47609				
317.668764	285.668764	55.61461				
318.22982	286.22982	55.433162				
318.948892	286.948892	55.637421				
319.479945	287.479945	55.573624				
320.117009	288.117009	55.535001				
320.765073	288.765073	55.546352				
321.281126	289.281126	55.566802				
321.947192	289.947192	55.426393				
322.553253	290.553253	55.537271				
323.071304	291.071304	55.573624				
323.777375	291.777375	55.390337				
324.339431	292.339431	55.800212				
324.863483	292.863483	55.657975				
325.587556	293.587556	55.505521				
326.114608	294.114608	55.696864				
326.675664	294.675664	55.528194				
327.375734	295.375734	55.603216				
327.885785	295.885785	55.626012				
328.490846	296.490846	55.578174				
329.153913	297.153913	55.701444				
329.661963	297.661963	55.738132				
330.305027	298.305027	55.726659				
330.93109	298.93109	55.804819				
331.43714	299.43714	55.811732				
332.12221	300.12221	55.610052				
332.706268	300.706268	55.802515				
333.217319	301.217319	55.722072				
333.946392	301.946392	55.65569				
334.498447	302.498447	55.853264				
335.045501	303.045501	55.745019				
335.778575	303.778575	55.710609				
336.294626	304.294626	55.980764				
336.882685	304.882685	55.715193				
337.567754	305.567754	55.751909				
338.082805	306.082805	56.057698				
338.711868	306.711868	55.733542				
339.359933	307.359933	55.881005				
339.901987	307.901987	55.938937				
